Time [s],Channel,Value
0.000025200,2,13156595
0.000038750,1,6447225
0.000052250,2,13156595
0.000065800,1,6447225
0.000079300,2,13156595
0.000092800,1,6447225
0.000106350,2,13156595
0.000119850,1,6447225
0.000133400,2,13156595
0.000146900,1,6447225
0.000160450,2,13156595
0.000173950,1,6447225
0.000187500,2,13156595
0.000201000,1,6447225
0.000214550,2,13156595
0.000228050,1,6447225
0.000241600,2,13156595
0.000255100,1,6447225
0.000268600,2,13156595
0.000282150,1,6447225
0.000295650,2,13156595
0.000309200,1,6447225
0.000322700,2,13156595
0.000336250,1,6447225
0.000349750,2,13156595
0.000363300,1,6447225
0.000376800,2,13156595
0.000390350,1,6447225
0.000403850,2,13156595
0.000417400,1,6447225
0.000430900,2,13156595
0.000444400,1,6447225
0.000457950,2,13156595
0.000471450,1,6447225
0.000485000,2,13156595
0.000498500,1,6447225
0.000512050,2,13156595
0.000525550,1,6447225
0.000539100,2,13156595
0.000552600,1,6447225
0.000566150,2,13156595
0.000579650,1,6447225
0.000593200,2,13156595
0.000606700,1,6447225
0.000620250,2,13156595
0.000633750,1,6447225
0.000647250,2,13156595
0.000660800,1,6447225
0.000674300,2,13156595
0.000687850,1,6447225
0.000701350,2,13156595
0.000714900,1,6447225
0.000728400,2,13156595
0.000741950,1,6447225
0.000755450,2,13156595
0.000769000,1,6447225
0.000782500,2,13156595
0.000796050,1,6447225
0.000809550,2,13156595
0.000823050,1,6447225
0.000836600,2,13156595
0.000850100,1,6447225
0.000863650,2,13156595
0.000877150,1,6447225
0.000890700,2,13156595
0.000904200,1,6447225
0.000917750,2,13156595
0.000931250,1,6447225
0.000944800,2,13156595
0.000958300,1,6447225
0.000971850,2,13156595
0.000985350,1,6447225
0.000998850,2,13156595
0.001012400,1,6447225
0.001025900,2,13156595
0.001039450,1,6447225
0.001052950,2,13156595
0.001066500,1,6447225
0.001080000,2,13156595
0.001093550,1,6447225
0.001107050,2,13156595
0.001120600,1,6447225
0.001134100,2,13156595
0.001147650,1,6447225
0.001161150,2,13156595
0.001174700,1,6447225
0.001188200,2,13156595
0.001201700,1,6447225
0.001215250,2,13156595
0.001228750,1,6447225
0.001242300,2,13156595
0.001255800,1,6447225
0.001269350,2,13156595
0.001282850,1,6447225
0.001296400,2,13156595
0.001309900,1,6447225
0.001323450,2,13156595
0.001336950,1,6447225
0.001350500,2,13156595
