Time [s],Channel,Value
-0.012495975,2,23339
-0.012493825,1,21930
-0.012491650,2,23339
-0.012489500,1,22115
-0.012487325,2,23836
-0.012485175,1,22115
-0.012483000,2,23836
-0.012480850,1,22115
-0.012478700,2,23836
-0.012476525,1,22115
-0.012474375,2,23836
-0.012472200,1,22115
-0.012470050,2,23836
-0.012467900,1,22637
-0.012465725,2,23934
-0.012463575,1,22637
-0.012461400,2,23934
-0.012459250,1,22637
-0.012457075,2,23934
-0.012454925,1,22637
-0.012452775,2,23934
-0.012450600,1,23025
-0.012448450,2,24577
-0.012446275,1,23025
-0.012444125,2,24577
-0.012441950,1,23025
-0.012439800,2,24577
-0.012437650,1,23025
-0.012435475,2,24577
-0.012433325,1,23025
-0.012431150,2,24577
-0.012429000,1,23536
-0.012426850,2,24899
-0.012424675,1,23536
-0.012422525,2,24899
-0.012420350,1,23536
-0.012418200,2,24899
-0.012416025,1,23536
-0.012413875,2,24899
-0.012411725,1,23536
-0.012409550,2,24899
-0.012407400,1,23629
-0.012405225,2,25208
-0.012403075,1,23629
-0.012400925,2,25208
-0.012398750,1,23629
-0.012396600,2,25208
-0.012394425,1,23629
-0.012392275,2,25208
-0.012390100,1,23629
-0.012387950,2,25208
-0.012385800,1,24126
-0.012383625,2,25368
-0.012381475,1,24126
-0.012379300,2,25368
-0.012377150,1,24126
-0.012374975,2,25368
-0.012372825,1,24126
-0.012370675,2,25368
-0.012368500,1,24426
-0.012366350,2,25195
-0.012364175,1,24426
-0.012362025,2,25195
-0.012359875,1,24426
-0.012357700,2,25195
-0.012355550,1,24426
-0.012353375,2,25195
-0.012351225,1,24426
-0.012349050,2,25195
-0.012346900,1,24910
-0.012344750,2,25915
-0.012342575,1,24910
-0.012340425,2,25915
-0.012338250,1,24910
-0.012336100,2,25915
-0.012333925,1,24910
-0.012331775,2,25915
-0.012329625,1,24910
-0.012327450,2,25915
-0.012325300,1,24973
-0.012323125,2,25876
-0.012320975,1,24973
-0.012318825,2,25876
-0.012316650,1,24973
-0.012314500,2,25876
-0.012312325,1,24973
-0.012310175,2,25876
-0.012308000,1,24973
-0.012305850,2,25876
-0.012303700,1,25257
-0.012301525,2,26150
-0.012299375,1,25257
-0.012297200,2,26150
-0.012295050,1,25257
-0.012292900,2,26150
-0.012290725,1,25257
-0.012288575,2,26150
-0.012286400,1,25625
-0.012284250,2,26438
-0.012282075,1,25625
-0.012279925,2,26438
-0.012277775,1,25625
-0.012275600,2,26438
-0.012273450,1,25625
-0.012271275,2,26438
-0.012269125,1,25625
-0.012266950,2,26438
-0.012264800,1,25830
-0.012262650,2,26630
-0.012260475,1,25830
-0.012258325,2,26630
-0.012256150,1,25830
-0.012254000,2,26630
-0.012251850,1,25830
-0.012249675,2,26630
-0.012247525,1,25830
-0.012245350,2,26630
-0.012243200,1,25809
-0.012241025,2,26939
-0.012238875,1,25809
-0.012236725,2,26939
-0.012234550,1,25809
-0.012232400,2,26939
-0.012230225,1,25809
-0.012228075,2,26939
-0.012225900,1,25809
-0.012223750,2,26939
-0.012221600,1,26362
-0.012219425,2,26803
-0.012217275,1,26362
-0.012215100,2,26803
-0.012212950,1,26362
-0.012210800,2,26803
-0.012208625,1,26362
-0.012206475,2,26803
-0.012204300,1,26364
-0.012202150,2,27234
-0.012199975,1,26364
-0.012197825,2,27234
-0.012195675,1,26364
-0.012193500,2,27234
-0.012191350,1,26364
